Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"18,596",2015/16 Proposed Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Gulu District,District Government,"213,782",2015/16 Proposed Budget,Vote: 508,Output: Teacher house construction
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gulu District,District Government,"50,000",2015/16 Proposed Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"354,000",2015/16 Proposed Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"118,200",2015/16 Proposed Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"53,000",2015/16 Proposed Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,"424,800",2015/16 Proposed Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Teacher house construction
Function: Skills Development,Donor Dev't,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"70,107",2015/16 Proposed Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"40,576",2015/16 Proposed Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"44,000",2015/16 Proposed Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,"1,759,248",2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Gulu District,District Government,"30,623",2015/16 Proposed Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,,District Government,"693,843",2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"702,950",2015/16 Proposed Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Gulu District,District Government,"738,141",2015/16 Proposed Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Non Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Teacher house construction
Function: Skills Development,Non Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"1,069,635",2015/16 Proposed Budget,Vote: 508,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"104,860",2015/16 Proposed Budget,Vote: 508,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,0,2015/16 Proposed Budget,,Output: PRDP-Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,"7,600,707",2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Other Capital
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Gulu District,District Government,"1,996,592",2015/16 Proposed Budget,Vote: 508,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Gulu District,District Government,0,2015/16 Proposed Budget,Vote: 508,Output: Secondary Capitation(USE)(LLS)
